id,indice,model,completion,pred_lang,task,source,language
0,0,command-r-base,الإثنين 12 فبراير 2018  1444,ara,monolingual,okapi,ar
0,1,command-r-base,موضوع رد استخدام الذكاء الاصطناعي لتعزيز قدرات الإنسان الإثنين 12 فبراير 2018  1445,ara,monolingual,okapi,ar
0,2,command-r-base,موضوع رد استخدام الذكاء الاصطناعي لتعزيز قدرات الإنسان الإثنين 12 فبراير 2018  1446,ara,monolingual,okapi,ar
1,0,command-r-base,أهمية إعادة التدوير ,ara,monolingual,okapi,ar
1,1,command-r-base,تعتبر عملية إعادة التدوير من أهم العمليات التي تساعد على الحفاظ على البيئة حيث أن عملية إعادة التدوير تساعد على تقليل كمية النفايات التي يتم التخلص منها في البيئة كما أنها تساعد على تقليل كمية الموارد الطبيعية التي يتم استهلاكها بالإضافة إلى ذلك فإن عملية إعادة التدوير تساعد على توفير الطاقة حيث أن عملية إعادة التدوير,ara,monolingual,okapi,ar
2,0,command-r-base, أفكار  2020,ara,monolingual,okapi,ar
2,1,command-r-base,الهدايا الإبداعية للأطفال الذين تتراوح أعمارهم بين 5 و 8 سنوات,ara,monolingual,okapi,ar
2,2,command-r-base,في سن 5 إلى 8 سنوات  يبدأ الأطفال في اكتشاف العالم من حولهم  ويكتشفون أنفسهم  ويكتشفون مواهبهم من المهم أن نكون قادرين على إعطاء هدية تتيح لهم التعبير عن أنفسهم  وتطوير مه,ara,monolingual,okapi,ar
3,0,command-r-base, حسوب IO,fas,monolingual,okapi,ar
3,1,command-r-base,20190817T1726380000,unknown,monolingual,okapi,ar
3,2,command-r-base,اكتب مقالة رأي حول الذكاء الصناعي في 500700 كلمة,ara,monolingual,okapi,ar
3,3,command-r-base,السلام عليكم ورحمة الله وبركاته كيف حالكم يا أعضاء مجتمع حسوب؟,ara,monolingual,okapi,ar
3,4,command-r-base,أريد منكم مساعدة في كتابة مقالة رأي حول الذكاء الصن,ara,monolingual,okapi,ar
4,0,command-r-base,عن اتخاذ أي إجراء بشأن هذا الاقتراح,ara,monolingual,okapi,ar
4,1,command-r-base,Los miembros de las Naciones Unidas no adoptaron ninguna medida respecto de esta propuesta,spa,monolingual,okapi,ar
4,2,command-r-base,Les Membres de lOrganisation des Nations Unies nont pris aucune mesure au sujet de cette proposition,fra,monolingual,okapi,ar
4,3,command-r-base,Члены Организации Объединенных Наций не приняли никаких мер в связи с этим предложением,rus,monolingual,okapi,ar
4,4,command-r-base,Members of the United Nations took no action on this proposal,eng,monolingual,okapi,ar
4,5,command-r-base,联合国会员国未就这一提议采取,zho,monolingual,okapi,ar
5,0,command-r-base,الموضوع اكتب مقالًا مكونًا من 500 كلمة عن فوائد الطعام العضوي,ara,monolingual,okapi,ar
5,1,command-r-base,20180919 0950 PM 1,lit,monolingual,okapi,ar
